English,Spanish,French,German,Italian
terrorism,terrorismo,terrorisme,Terrorismus,terrorismo
joy,alegria,joie,Freude,gioia
editions,ediciones,editions,Ausgaben / Editionen,edizioni
mainly,principalmente,principalement,hauptsachlich,principalmente
ethnic,etnico,ethnique,ethnisch,etnico
ran,corrio / dirigio,a couru / dirigeait,lief / leitete,corse / gesti
parliament,parlamento,parlement,Parlament,parlamento
actor,actor,acteur,Schauspieler,attore
finds,encuentra,trouve,findet,trova
seal,sello / foca / sellar,sceau / phoque / sceller,Siegel / Robbe / versiegeln,sigillo / foca / sigillare
situations,situaciones,situations,Situationen,situazioni
fifth,quinto,cinquieme,funfte,quinto
allocated,asignado,alloue,zugewiesen,assegnato
citizen,ciudadano,citoyen,Burger,cittadino
vertical,vertical,vertical,vertikal,verticale
corrections,correcciones,corrections,Korrekturen,correzioni
structural,estructural,structurel,strukturell,strutturale
municipal,municipal,municipal,kommunal / stadtisch,municipale
describes,describe,decrit,beschreibt,descrive
prize,premio,prix,Preis,premio
occurs,ocurre,se produit,tritt auf,si verifica
jon,Jon,Jon,Jon,Jon
absolute,absoluto,absolu,absolut,assoluto
disabilities,discapacidades,handicaps,Behinderungen,disabilita
consists,consiste,consiste,besteht,consiste
anytime,en cualquier momento,n'importe quand,jederzeit,in qualsiasi momento
substance,sustancia,substance,Substanz,sostanza
prohibited,prohibido,interdit,verboten,proibito
addressed,abordado / dirigido,aborde / adresse,behandelt / adressiert,affrontato / indirizzato
lies,mentiras / yace,mensonges / se trouve,Lugen / liegt,bugie / giace
pipe,tuberia / pipa,tuyau / pipe,Rohr / Pfeife,tubo / pipa
soldiers,soldados,soldats,Soldaten,soldati
guardian,guardian / tutor,gardien / tuteur,Wachter / Vormund,guardiano / tutore
lecture,conferencia / leccion,conference / cours magistral,Vorlesung,lezione / conferenza
simulation,simulacion,simulation,Simulation,simulazione
layout,diseno / distribucion,mise en page / disposition,Layout / Anordnung,layout / disposizione
initiatives,iniciativas,initiatives,Initiativen,iniziative
ill,enfermo,malade,krank,malato
concentration,concentracion,concentration,Konzentration,concentrazione
classics,clasicos,classiques,Klassiker,classici
lbs,lb,lb,lbs,lb
lay,poner / colocar,poser,legen,posare
interpretation,interpretacion,interpretation,Interpretation,interpretazione
horses,caballos,chevaux,Pferde,cavalli
lol,jajaja / lol,lol,lol,lol
dirty,sucio,sale,schmutzig,sporco
deck,cubierta / mazo,pont / jeu de cartes,Deck / Kartenspiel,ponte / mazzo
wayne,Wayne,Wayne,Wayne,Wayne
donate,donar,faire un don,spenden,donare
taught,ensenado / enseno,enseigne,gelehrt,insegnato
bankruptcy,bancarrota / quiebra,faillite,Insolvenz / Bankrott,fallimento / bancarotta
worker,trabajador,travailleur,Arbeiter,lavoratore
optimization,optimizacion,optimisation,Optimierung,ottimizzazione
alive,vivo,vivant,lebendig,vivo
temple,templo,temple,Tempel,tempio
substances,sustancias,substances,Substanzen,sostanze
prove,probar / demostrar,prouver,beweisen,provare / dimostrare
discovered,descubierto,decouvert,entdeckt,scoperto
wings,alas,ailes,Flugel,ali
breaks,rompe / descansos,casse / pauses,bricht / Pausen,rompe / pause
genetic,genetico,genetique,genetisch,genetico
restrictions,restricciones,restrictions,Einschrankungen,restrizioni
participating,participando,participant,teilnehmend,partecipando
waters,aguas,eaux,Wasser,acque
promise,promesa / prometer,promesse / promettre,Versprechen / versprechen,promessa / promettere
thin,delgado / fino,mince / fin,dunn,sottile / magro
exhibition,exhibicion,exposition,Ausstellung,esposizione
prefer,preferir,preferer,bevorzugen,preferire
ridge,cresta / cordillera,crete / arete,Grat / Kamm,cresta / dorsale
cabinet,gabinete / armario,cabinet,Kabinett / Schrank,gabinetto / armadio
modem,modem,modem,Modem,modem
harris,Harris,Harris,Harris,Harris
mph,mph,mph,mph,mph
bringing,trayendo,apportant,bringend,portando
sick,enfermo,malade,krank,malato
dose,dosis,dose,Dosis,dose
evaluate,evaluar,evaluer,bewerten,valutare
tiffany,Tiffany,Tiffany,Tiffany,Tiffany
tropical,tropical,tropical,tropisch,tropicale
collect,recopilar / coleccionar,collecter / collectionner,sammeln,raccogliere / collezionare
bet,apostar / apuesta,parier / pari,wetten / Wette,scommettere / scommessa
composition,composicion,composition,Zusammensetzung / Komposition,composizione
toyota,Toyota,Toyota,Toyota,Toyota
streets,calles,rues,Strassen,strade
nationwide,a nivel nacional,national / a l'echelle nationale,landesweit,nazionale
vector,vector,vecteur,Vektor,vettore
definitely,definitivamente,definitivement,definitiv,decisamente / sicuramente
shaved,afeitado / se afeito,rase,rasiert,rasato / si e rasato
turning,girando / convirtiendo,tournant,drehend / wendend,girando / trasformando
buffer,buffer / amortiguador,tampon / buffer,Puffer,buffer / tampone
purple,morado / purpura,violet / pourpre,lila / purpur,viola / porpora
existence,existencia,existence,Existenz,esistenza
commentary,comentario,commentaire,Kommentar,commento
larry,Larry,Larry,Larry,Larry
limousines,limusinas,limousines,Limousinen,limousine
developments,desarrollos,developpements,Entwicklungen,sviluppi
def,def,def,def,def
immigration,inmigracion,immigration,Einwanderung,immigrazione
destinations,destinos,destinations,Reiseziele,destinazioni
lets,deja / permitamos,laisse / allons,lasst / erlaubt,lascia / facciamo
mutual,mutuo,mutuel,gegenseitig,reciproco / mutuo
pipeline,tuberia / canalizacion / pipeline,pipeline / canalisation,Pipeline / Rohrleitung,pipeline / oleodotto
necessarily,necesariamente,necessairement,notwendigerweise,necessariamente
syntax,sintaxis,syntaxe,Syntax,sintassi
attribute,atributo / atribuir,attribut / attribuer,Attribut / zuschreiben,attributo / attribuire
prison,prision,prison,Gefangnis,prigione
skill,habilidad,competence / habilete,Fahigkeit,abilita / competenza
chairs,sillas,chaises,Stuhle,sedie
everyday,cotidiano / diario,quotidien,alltaglich,quotidiano
apparently,aparentemente,apparemment,offenbar,apparentemente
surrounding,circundante / alrededor,environnant / entourant,umliegend / umgebend,circostante
mountains,montanas,montagnes,Berge,montagne
moves,movimientos / mueve,mouvements / bouge,Bewegungen / bewegt,mosse / muove
popularity,popularidad,popularite,Popularitat,popolarita
inquiry,consulta / investigacion,demande / enquete,Anfrage / Untersuchung,richiesta / indagine
ethernet,ethernet,ethernet,Ethernet,ethernet
checked,revisado / comprobado,verifie / controle,gepruft,controllato
exhibit,exhibicion / exhibir,exposition / exposer,Ausstellung / ausstellen,mostra / esibire
throw,lanzar,lancer,werfen,lanciare
trend,tendencia,tendance,Trend,tendenza
sierra,sierra,sierra / chaine de montagnes,Sierra / Gebirge,sierra / catena montuosa
visible,visible,visible,sichtbar,visibile
cats,gatos,chats,Katzen,gatti
desert,desierto,desert,Wuste,deserto
postposted,publicado,publie,gepostet,pubblicato
oldest,mas antiguo / mas viejo,le plus ancien,alteste,piu antico / piu vecchio
rhode,Rhode,Rhode,Rhode,Rhode
coordinator,coordinador,coordinateur,Koordinator,coordinatore
obviously,obviamente,evidemment,offensichtlich,ovviamente
mercury,mercurio,mercure,Quecksilber / Merkur,mercurio
steven,Steven,Steven,Steven,Steven
handbook,manual,manuel,Handbuch,manuale
greg,Greg,Greg,Greg,Greg
navigate,navegar,naviguer,navigieren,navigare
worse,peor,pire,schlechter,peggiore
summit,cumbre,sommet,Gipfel,vertice / cima
victims,victimas,victimes,Opfer,vittime
epa,EPA,EPA,EPA,EPA
spaces,espacios,espaces,Raume / Leerzeichen,spazi
fundamental,fundamental,fondamental,grundlegend,fondamentale
burning,ardiendo / quema,brulant / combustion,brennend,bruciante / bruciando
escape,escape / escapar,fuite / s'echapper,Flucht / entkommen,fuga / scappare
coupons,cupones,coupons,Gutscheine / Coupons,coupon / buoni
somewhat,algo / un poco,quelque peu,etwas,abbastanza / un po'
receiver,receptor,recepteur,Empfanger,ricevitore
substantial,sustancial,substantiel,erheblich / substanziell,sostanziale
progressive,progresivo,progressif,fortschrittlich / progressiv,progressivo
cialis,Cialis,Cialis,Cialis,Cialis
boats,barcos,bateaux,Boote,barche
glance,vistazo,coup d'oeil,Blick,occhiata
scottish,escoces,ecossais,schottisch,scozzese
championship,campeonato,championnat,Meisterschaft,campionato
arcade,arcade / sala de juegos,arcade / salle de jeux,Spielhalle / Arcade,sala giochi / arcade
richmond,Richmond,Richmond,Richmond,Richmond
sacramento,Sacramento,Sacramento,Sacramento,Sacramento
impossible,imposible,impossible,unmoglich,impossibile
ron,Ron,Ron,Ron,Ron
russell,Russell,Russell,Russell,Russell
tells,dice / cuenta,dit / raconte,sagt / erzahlt,dice / racconta
obvious,obvio,evident,offensichtlich,ovvio
fiber,fibra,fibre,Faser,fibra
depression,depresion,depression,Depression,depressione
graph,grafico,graphique,Grafik / Graph,grafico
covering,cubriendo / cobertura,couvrant / couverture,abdeckend / Berichterstattung,coprendo / copertura
platinum,platino,platine,Platin,platino
judgment,juicio,jugement,Urteil,giudizio
bedrooms,dormitorios,chambres,Schlafzimmer,camere da letto
talks,charlas / habla,pourparlers / parle,Gesprache / spricht,colloqui / parla
filing,archivo / presentacion,classement / depot,Ablage / Einreichung,archiviazione / deposito
foster,fomentar / acogida,favoriser / accueil,fordern / Pflege,promuovere / affidare
modeling,modelado,modelisation / mannequinat,Modellierung,modellazione
passing,pasando / aprobado,passant / reussite,vorbeigehend / Bestehen,passando / superamento
awarded,otorgado,attribue,verliehen,assegnato
testimonials,testimonios,temoignages,Testimonials / Erfahrungsberichte,testimonianze
trials,juicios / ensayos,proces / essais,Prozesse / Studien,processi / prove
tissue,tejido / papel,tissu / mouchoir,Gewebe / Taschentuch,tessuto / fazzoletto
memorabilia,recuerdos / objetos de recuerdo,objets de collection,Andenken / Erinnerungsstucke,memorabilia / cimeli
clinton,Clinton,Clinton,Clinton,Clinton
masters,maestros / masters,maitres / masters,Meister / Masters,maestri / masters
bonds,bonos / vinculos,obligations / liens,Anleihen / Bindungen,obbligazioni / legami
cartridge,cartucho,cartouche,Patrone / Kartusche,cartuccia
alberta,Alberta,Alberta,Alberta,Alberta
explanation,explicacion,explication,Erklarung,spiegazione
folk,folk / gente,folk / gens,Volk / Folk,folk / gente
org,org,org,org,org
commons,comunes,commons / biens communs,Allmende / Commons,beni comuni / commons
cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati
subsection,subseccion,sous-section,Unterabschnitt,sottosezione
fraud,fraude,fraude,Betrug,frode
electricity,electricidad,electricite,Elektrizitat,elettricita
permitted,permitido,autorise,erlaubt,permesso / consentito
spectrum,espectro,spectre,Spektrum,spettro
arrival,llegada,arrivee,Ankunft,arrivo
okay,esta bien / vale,d'accord / ok,okay,va bene / ok
pottery,ceramica,poterie,Tonware / Keramik,ceramica
emphasis,enfasis,accent / emphase,Betonung,enfasi
roger,Roger,Roger,Roger,Roger
aspect,aspecto,aspect,Aspekt,aspetto
workplace,lugar de trabajo,lieu de travail,Arbeitsplatz,luogo di lavoro
awesome,increible / asombroso,genial / impressionnant,grossartig,fantastico
mexican,mexicano,mexicain,mexikanisch,messicano
confirmed,confirmado,confirme,bestatigt,confermato
counts,conteos / cuenta,comptes / compte,Zahlungen? / zahlt / Anzahlen,conteggi / conta
priced,con precio / valorado,au prix de / evalue,bepreist,prezzato
wallpapers,fondos de pantalla,fonds d'ecran,Hintergrundbilder,sfondi
hist,hist,hist,hist,hist
crash,choque / colapso,crash / accident,Absturz / Unfall,crash / incidente
lift,levantar / ascensor,lever / ascenseur,heben / Aufzug,sollevare / ascensore
desired,deseado,desire,gewunscht,desiderato
inter,inter,inter,inter,inter
closer,mas cerca / mas cercano,plus pres,naher,piu vicino
assumes,asume,suppose / assume,nimmt an,suppone / assume
heights,alturas,hauteurs,Hohen,altezze
shadow,sombra,ombre,Schatten,ombra
riding,montando / conduciendo,montant / roulant,reitend / fahrend,andando / guidando
infection,infeccion,infection,Infektion,infezione
firefox,Firefox,Firefox,Firefox,Firefox
lisa,Lisa,Lisa,Lisa,Lisa
expense,gasto,depense,Ausgabe,spesa
grove,arboleda / huerto,bosquet,Hain,boschetto
eligibility,elegibilidad,eligibilite,Berechtigung,idoneita
venture,empresa / aventura,entreprise / aventure,Unternehmen / Wagnis,impresa / avventura
clinic,clinica,clinique,Klinik,clinica
korean,coreano,coreen,koreanisch,coreano
healing,curacion,guerison,Heilung,guarigione
princess,princesa,princesse,Prinzessin,principessa
mall,centro comercial,centre commercial / mall,Einkaufszentrum,centro commerciale
entering,entrando / introduciendo,entrant / saisissant,eintretend / eingebend,entrando / inserendo
packet,paquete / paquete de datos,paquet,Paket,pacchetto
spray,rociar / aerosol,spray / pulveriser,Spray / spruhen,spray / spruzzare
studios,estudios,studios,Studios,studi
involvement,participacion / implicacion,implication / participation,Beteiligung,coinvolgimento
dad,papa / papa,papa,Papa,papa
buttons,botones,boutons,Schaltflachen / Knopfe,pulsanti / bottoni
placement,colocacion / ubicacion,placement / positionnement,Platzierung,collocamento / posizionamento
observations,observaciones,observations,Beobachtungen,osservazioni
vbulletin,vBulletin,vBulletin,vBulletin,vBulletin
funded,financiado,finance,finanziert,finanziato
thompson,Thompson,Thompson,Thompson,Thompson
winners,ganadores,gagnants,Gewinner,vincitori
extend,extender,etendre,erweitern / verlangern,estendere
roads,carreteras / caminos,routes,Strassen,strade
subsequent,posterior / subsiguiente,subsequent,anschliessend / nachfolgend,successivo
pat,Pat,Pat,Pat,Pat
dublin,Dublin,Dublin,Dublin,Dublino
rolling,rodando / continuo,roulant,rollend,rotolando
fell,cayo,est tombe,fiel,e caduto
motorcycle,motocicleta,moto / motocyclette,Motorrad,motocicletta
yard,patio / yarda,cour / yard,Hof / Yard,cortile / iarda
disclosure,divulgacion / revelacion,divulgation / declaration,Offenlegung,divulgazione
establishment,establecimiento,etablissement,Einrichtung / Establishment,stabilimento / istituzione
memories,recuerdos / memorias,souvenirs / memoires,Erinnerungen,ricordi / memorie
nelson,Nelson,Nelson,Nelson,Nelson
arrived,llego,est arrive,kam an,e arrivato
creates,crea,cree,erstellt / schafft,crea
faces,caras / enfrenta,visages / fait face,Gesichter / steht gegenuber,facce / affronta
tourist,turista,touriste,Tourist,turista
mayor,alcalde,maire,Burgermeister,sindaco
murder,asesinato,meurtre,Mord,omicidio
sean,Sean,Sean,Sean,Sean
adequate,adecuado,adequat,angemessen,adeguato
senator,senador,senateur,Senator,senatore
yield,rendimiento / ceder,rendement / ceder,Ertrag / nachgeben,rendimento / cedere
presentations,presentaciones,presentations,Prasentationen,presentazioni
grades,calificaciones / grados,notes / grades,Noten / Grade,voti / gradi
cartoons,caricaturas / dibujos animados,dessins animes / caricatures,Cartoons / Zeichentrickfilme,cartoni animati / caricature
pour,verter,verser,giessen,versare
digest,resumen / digerir,resume / digerer,Digest / verdauen,digest / digerire
reg,reg,reg,reg,reg
lodging,alojamiento,hebergement,Unterkunft,alloggio
tion,tion,tion,tion,tion
dust,polvo,poussiere,Staub,polvere
hence,por lo tanto,d'ou / par consequent,daher,quindi / pertanto
wiki,wiki,wiki,Wiki,wiki
entirely,enteramente / completamente,entierement,vollstandig,interamente
replaced,reemplazado,remplace,ersetzt,sostituito
radar,radar,radar,Radar,radar
rescue,rescate / rescatar,sauvetage / secourir,Rettung / retten,salvataggio / salvare
undergraduate,pregrado / estudiante universitario,premier cycle / etudiant de premier cycle,Grundstudium / Student,laurea triennale / studente universitario
losses,perdidas,pertes,Verluste,perdite
combat,combate / combatir,combat / combattre,Kampf / bekampfen,combattimento / combattere
reducing,reduciendo,reduisant,reduzierend,riducendo
stopped,detenido / paro,arrete,gestoppt / hielt an,fermato
occupation,ocupacion,occupation,Beschaftigung / Beruf,occupazione
lakes,lagos,lacs,Seen,laghi
donations,donaciones,dons,Spenden,donazioni
associations,asociaciones,associations,Vereine / Verbande,associazioni
citysearch,Citysearch,Citysearch,Citysearch,Citysearch
closely,estrechamente,etroitement,eng / genau,strettamente
radiation,radiacion,radiation / rayonnement,Strahlung,radiazione
diary,diario,journal intime,Tagebuch,diario
seriously,seriamente,serieusement,ernsthaft,seriamente
kings,reyes,rois,Konige,re
shooting,disparo / filmacion / rodaje,tir / tournage,Schiessen / Dreh,sparo / ripresa
kent,Kent,Kent,Kent,Kent
adds,anade / agrega,ajoute,fugt hinzu,aggiunge
nsw,NSW,NSW,NSW,NSW
ear,oreja / oido,oreille,Ohr,orecchio
flags,banderas,drapeaux,Flaggen,bandiere
pci,PCI,PCI,PCI,PCI
baker,panadero / Baker,boulanger / Baker,Backer / Baker,fornaio / Baker
launched,lanzado,lance,gestartet / eingefuhrt,lanciato
elsewhere,en otro lugar,ailleurs,anderswo,altrove
pollution,contaminacion,pollution,Verschmutzung,inquinamento
conservative,conservador,conservateur,konservativ,conservatore
guestbook,libro de visitas,livre d'or,Gastebuch,libro degli ospiti
shock,choque / conmocion / shock,choc,Schock,shock / urto
effectiveness,efectividad,efficacite,Wirksamkeit,efficacia
walls,paredes,murs,Wande,pareti
abroad,en el extranjero,a l'etranger,im Ausland,all'estero
ebony,ebano,ebene,Ebenholz,ebano
tie,corbata / empate / atar,cravate / egalite / attacher,Krawatte / Unentschieden / binden,cravatta / pareggio / legare
ward,sala / barrio / pupilo,service / quartier / pupille,Station / Bezirk / Muntel,reparto / quartiere / affidato
drawn,dibujado / atraido,dessine / attire,gezogen / gezeichnet,disegnato / attratto
arthur,Arthur,Arthur,Arthur,Arturo / Arthur
ian,Ian,Ian,Ian,Ian
visited,visitado / visito,visite,besucht,visitato
roof,techo,toit,Dach,tetto
walker,caminante / Walker,marcheur / Walker,Geher / Walker,camminatore / Walker
demonstrate,demostrar,demontrer,demonstrieren / zeigen,dimostrare
atmosphere,atmosfera,atmosphere,Atmosphare,atmosfera
suggests,sugiere,suggere,schlagt vor / deutet an,suggerisce
kiss,beso / besar,baiser / embrasser,Kuss / kussen,bacio / baciare
beast,bestia,bete,Bestie,bestia
operated,operado / operaba,exploite / opere,betrieben,operato / gestito
experiment,experimento,experience / experimenter,Experiment,esperimento
targets,objetivos / metas,cibles / objectifs,Ziele,obiettivi / bersagli
overseas,en el extranjero / ultramar,a l'etranger / outre-mer,im Ausland / ubersee,all'estero / oltremare
purchases,compras / adquiere,achats / achete,Kaufe / kauft,acquisti / acquista
dodge,esquivar / Dodge,esquiver / Dodge,ausweichen / Dodge,schivare / Dodge
counsel,consejo / asesoramiento,conseil,Rat / Rechtsbeistand,consiglio / consulenza
federation,federacion,federation,Foderation,federazione
pizza,pizza,pizza,Pizza,pizza
invited,invitado,invite,eingeladen,invitato
yards,yardas / patios,yards / cours,Yards / Hofe,iarde / cortili
assignment,asignacion / tarea,affectation / devoir,Aufgabe / Zuweisung,assegnazione / compito
chemicals,quimicos / sustancias quimicas,produits chimiques,Chemikalien,sostanze chimiche
gordon,Gordon,Gordon,Gordon,Gordon
mod,mod,mod,mod,mod
farmers,agricultores / granjeros,agriculteurs / fermiers,Bauern / Landwirte,agricoltori / contadini
queries,consultas,requetes,Abfragen,query / richieste
bmw,BMW,BMW,BMW,BMW
rush,prisa / apresurarse,precipitation / se precipiter,Eile / sturmen,fretta / affrettarsi
ukraine,Ucrania,Ukraine,Ukraine,Ucraina
absence,ausencia,absence,Abwesenheit,assenza
nearest,mas cercano,le plus proche,nächstgelegen / nearest,piu vicino
cluster,grupo / cluster,groupe / cluster,Cluster / Gruppe,cluster / gruppo
vendors,vendedores / proveedores,vendeurs / fournisseurs,Anbieter / Verkaufer,venditori / fornitori
whereas,mientras que,tandis que,wohingegen,mentre / mentre invece
yoga,yoga,yoga,Yoga,yoga
serves,sirve,sert,dient / serviert,serve
woods,bosques / madera,bois,Walder / Holzer,boschi / legni
surprise,sorpresa / sorprender,surprise / surprendre,Uberraschung / uberraschen,sorpresa / sorprendere
lamp,lampara,lampe,Lampe,lampada
rico,rico / Rico,riche / Rico,reich / Rico,ricco / Rico
partial,parcial,partiel,teilweise / partiell,parziale
shoppers,compradores,acheteurs / clients,Kaufer / Shopper,acquirenti / clienti
phil,Phil,Phil,Phil,Phil
everybody,todos,tout le monde,jeder / alle,tutti
couples,parejas,couples,Paare,coppie
nashville,Nashville,Nashville,Nashville,Nashville
ranking,clasificacion / ranking,classement,Rangliste / Ranking,classifica / ranking
jokes,bromas / chistes,blagues,Witze,battute / scherzi
cst,CST,CST,CST,CST
ceo,CEO / director ejecutivo,PDG / CEO,CEO / Geschaftsfuhrer,CEO / amministratore delegato
simpson,Simpson,Simpson,Simpson,Simpson
twiki,TWiki,TWiki,TWiki,TWiki
sublime,sublime,sublime,erhaben / sublime,sublime
counseling,asesoramiento / consejeria,conseil / accompagnement,Beratung,consulenza / counselling
palace,palacio,palais,Palast,palazzo
acceptable,aceptable,acceptable,akzeptabel,accettabile
satisfied,satisfecho,satisfait,zufrieden,soddisfatto
glad,contento / alegre,content / heureux,froh,contento
wins,gana / victorias,gagne / victoires,gewinnt / Siege,vince / vittorie
measurements,mediciones / medidas,mesures,Messungen,misurazioni
verify,verificar,verifier,uberprufen,verificare
globe,globo / mundo,globe / monde,Globus / Welt,globo / mondo
trusted,confiable / de confianza,fiable / de confiance,vertrauenswurdig,affidabile / fidato
copper,cobre,cuivre,Kupfer,rame
milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee
rack,estante / bastidor,etagere / rack,Regal / Rack,scaffale / rack
medication,medicacion,medicament / medication,Medikation,farmaco / medicazione
warehouse,almacen,entrepot,Lagerhaus,magazzino
shareware,shareware,shareware,Shareware,shareware
rep,rep,rep,Rep,rep
dicke,Dicke,Dicke,Dicke,Dicke
kerry,Kerry,Kerry,Kerry,Kerry
receipt,recibo,recu / reçu,Quittung / Beleg,ricevuta
supposed,supuesto / se supone,suppose,soll / angeblich,supposto / dovrebbe
ordinary,ordinario,ordinaire,gewohnlich,ordinario
nobody,nadie,personne,niemand,nessuno
ghost,fantasma,fantome,Geist / Gespenst,fantasma
violation,violacion / infraccion,violation / infraction,Verstoss / Verletzung,violazione / infrazione
configure,configurar,configurer,konfigurieren,configurare
stability,estabilidad,stabilite,Stabilitat,stabilita
mit,MIT,MIT,MIT,MIT
applying,aplicando / solicitando,appliquant / postulant,anwendend / sich bewerbend,applicando / candidandosi
southwest,suroeste,sud-ouest,Sudwesten,sud-ovest
boss,jefe,patron / chef,Chef,capo
pride,orgullo,fierte,Stolz,orgoglio
institutional,institucional,institutionnel,institutionell,istituzionale
expectations,expectativas,attentes,Erwartungen,aspettative
independence,independencia,independance,Unabhangigkeit,indipendenza
knowing,sabiendo / conocimiento,sachant,wissend,sapendo
reporter,reportero,reporter / journaliste,Reporter,giornalista / reporter
metabolism,metabolismo,metabolisme,Stoffwechsel,metabolismo
keith,Keith,Keith,Keith,Keith
champion,campeon,champion,Champion / Meister,campione
cloudy,nublado,nuageux,bewolkt,nuvoloso
linda,Linda,Linda,Linda,Linda
ross,Ross,Ross,Ross,Ross
personally,personalmente,personnellement,personlich,personalmente
chile,Chile / chile,Chili / piment,Chile / Chili,Cile / peperoncino
anna,Anna,Anna,Anna,Anna
plenty,mucho / abundancia,beaucoup / abondance,reichlich / viele,molto / abbondanza
solo,solo,solo / seul,solo / allein,solo
sentence,frase / sentencia / oracion,phrase / sentence,Satz / Urteil,frase / sentenza
throat,garganta,gorge,Hals / Kehle,gola
ignore,ignorar,ignorer,ignorieren,ignorare
maria,Maria,Maria,Maria,Maria
uniform,uniforme,uniforme,Uniform / einheitlich,uniforme
excellence,excelencia,excellence,Exzellenz,eccellenza
wealth,riqueza,richesse,Reichtum,ricchezza
tall,alto,grand,gross / hoch,alto
somewhere,en algun lugar,quelque part,irgendwo,da qualche parte
vacuum,vacio / aspiradora / vacio,vide / aspirateur / vacuum,Vakuum / Staubsauger,vuoto / aspirapolvere
dancing,bailando / baile,dansant / danse,tanzend,ballando / danza
attributes,atributos,attributs,Attribute,attributi
recognize,reconocer,reconnaitre,erkennen,riconoscere
brass,laton / cobre,laiton / cuivre,Messing,ottone
writes,escribe,ecrit,schreibt,scrive
plaza,plaza,place / plaza,Platz / Plaza,piazza
pdas,PDAs,PDA,PDAs,PDA
outcomes,resultados,resultats / issues,Ergebnisse,risultati
survival,supervivencia,survie,Uberleben,sopravvivenza
quest,busqueda / mision,quete / recherche,Suche / Quest,ricerca / missione
publish,publicar,publier,veroffentlichen,pubblicare
sri,Sri,Sri,Sri,Sri
screening,cribado / seleccion / proyeccion,depistage / selection / projection,Screening / Vorfuhrung,screening / selezione
toe,dedo del pie,orteil,Zeh,dito del piede
thumbnail,miniatura,vignette / miniature,Miniaturansicht / Thumbnail,miniatura
trans,trans,trans,trans,trans
jonathan,Jonathan,Jonathan,Jonathan,Jonathan
whenever,cuando sea / siempre que,chaque fois que / quand,wann immer,ogni volta che / quando
nova,nova,nova,Nova,nova
lifetime,vida / de por vida,vie / a vie,Lebenszeit,vita / a vita
pioneer,pionero,pionnier,Pionier,pioniere
booty,botin / trasero,butin / derriere,Beute / Hintern,bottino / sedere
forgotten,olvidado,oublie,vergessen,dimenticato
acrobat,Acrobat / acrobata,Acrobat / acrobate,Acrobat / Akrobat,Acrobat / acrobata
plates,platos / placas,assiettes / plaques,Teller / Platten,piatti / piastre
acres,acres,acres,Acker / Acres,acri
venue,lugar / sede,lieu / salle,Veranstaltungsort,luogo / sede
athletic,atletico,athletique,athletisch,atletico
thermal,termico,thermique,thermisch,termico
essays,ensayos,essais,Aufsatze / Essays,saggi / temi
vital,vital,vital,wichtig / vital,vitale
telling,diciendo / revelador,disant / revelateur,erzahlend / aussagekraftig,dicendo / rivelatore
fairly,bastante / justamente,assez / equitablement,ziemlich / fairerweise,abbastanza / equamente
coastal,costero,cotier,kustennah / Kusten-,costiero
config,config,config,config,config
charity,caridad / beneficencia,charite / association caritative,Wohltatigkeit,carita / beneficenza
intelligent,inteligente,intelligent,intelligent,intelligente
edinburgh,Edimburgo,Edimbourg,Edinburgh,Edimburgo
excel,Excel / sobresalir,Excel / exceller,Excel / herausragen,Excel / eccellere
modes,modos,modes,Modi,modalita
obligation,obligacion,obligation,Verpflichtung,obbligo
campbell,Campbell,Campbell,Campbell,Campbell
wake,despertar / estela,reveiller / sillage,aufwachen / Kielwasser,svegliare / scia
stupid,estupido,stupide,dumm,stupido
harbor,puerto / albergar,port / abriter,Hafen / hegen,porto / ospitare
hungary,Hungria,Hongrie,Ungarn,Ungheria
traveler,viajero,voyageur,Reisender,viaggiatore
urw,urw,urw,urw,urw
segment,segmento,segment,Segment,segmento
realize,darse cuenta / realizar,realiser / se rendre compte,erkennen / verwirklichen,rendersi conto / realizzare
regardless,independientemente de,quel que soit / peu importe,unabhangig davon,indipendentemente da
lan,LAN,LAN,LAN,LAN
enemy,enemigo,ennemi,Feind,nemico
puzzle,rompecabezas / desconcertar,puzzle / enigme,Ratsel / Puzzle,puzzle / rompicapo
rising,aumento / creciente,hausse / croissant,steigend,crescente / aumento
aluminum,aluminio,aluminium,Aluminium,alluminio
wells,pozos / Wells,puits / Wells,Brunnen / Wells,pozzi / Wells
wishlist,lista de deseos,liste de souhaits,Wunschliste,lista dei desideri
opens,abre,ouvre,offnet,apre
insight,perspicacia / comprension,perspicacite / comprehension,Einblick,intuizione / comprensione
sms,SMS,SMS,SMS,SMS
restricted,restringido,restreint,eingeschrankt,limitato / ristretto
republican,republicano,republicain,republikanisch / Republikaner,repubblicano
secrets,secretos,secrets,Geheimnisse,segreti
lucky,afortunado,chanceux,glucklich / glucklich gehabt,fortunato
latter,este ultimo,ce dernier,letzterer,quest'ultimo
merchants,comerciantes,marchands,Handler,mercanti
thick,grueso / espeso,epais,dick,spesso
trailers,remolques / avances,remorques / bandes-annonces,Anhänger / Trailer,rimorchi / trailer
repeat,repetir / repeticion,repeter / repetition,wiederholen / Wiederholung,ripetere / ripetizione
syndrome,sindrome,syndrome,Syndrom,sindrome
philips,Philips,Philips,Philips,Philips
